attainabilityfear	attainabilityhope	DietTotal	BMI	age	PDiscrepency	Pstandards	Porder
4	7	12	21,7993079584775	23	34	32	22
2	6	22	19,9593554942662	22	40	28	20
2	6	22	21,1463199091024	27	27	41	15
7	4	19	20,6758034026465	20	46	39	16
4	5	21	17,8748124740656	20	43	41	15
1	7	21	21,9671201814059	24	34	35	18
6	2	14	20,7612456747405	23	51	34	15
7	5	19	22,8373702422145	25	45	36	23
2	4	15	24,7842575173938	23	46	31	19
1	7	17	17,8748124740656	24	47	27	15
2	9	15	23,9389897746315	24	26	41	15
5	7	17	23,3234180638183	19	32	31	11
2	4	9	19,5682363337962	21	34	38	18
3	7	17	27,2508874466636	21	24	41	25
1	9	12	19,0311418685121	21	22	30	22
7	3	35	27,681660899654	21	35	42	16
4	5	15	20,7612456747405	23	47	33	22
5	4	19	19,3771626297578	20	42	37	23
5	3	18	21,7993079584775	20	43	41	23
6	3	20	19,5682363337962	21	39	29	21
2	3	15	23,4375	22	73	42	20
4	6	21	21,7738423573813	24	33	37	13
1	2	14	20,9572742022715	23	30	33	21
5	5	17	22,65625	22	44	35	13
1	8	16	19,1326530612245	22	47	35	23
3	6	23	20,9839876033058	25	72	35	19
3	4	24	21,3039485766759	21	36	36	17
6	3	18	26,218820861678	29	60	33	18
6	1	23	18,9069010188719	18	49	44	21
3	7	25	19,5716812826979	20	50	31	17
3	4	20	23,2334561768947	23	25	35	20
4	3	17	20,5688066136624	28	33	46	28
3	6	29	23,8751147842057	26	37	44	17
1	2	10	19,6071566121634	23	25	40	22
6	6	29	20,4381655849977	21	41	36	20
7	3	18	21,1463199091024	22	22	31	21
3	7	25	22,7903579254931	21	40	42	23
4	6	19	21,5138585105239	24	31	31	18
2	5	14	18,4013429752066	24	35	28	19
2	7	12	22,2309871275413	22	20	38	15
5	4	11	20,5150864789799	30	47	43	19
2	6	19	20,5150864789799	25	29	43	19
5	3	32	20,8209399167162	20	46	38	24
1	7	17	18,8121472722386	23	25	40	22
3	6	12	20,2865079117381	20	22	39	19
1	9	14	22,6473769605192	21	35	33	14
6	7	9	18,9249412411099	21	40	39	26
2	5	9	17,6745360434289	21	44	37	18
3	6	23	21,9713358572201	24	39	39	20
7	6	36	20,9366391184573	22	24	29	19
6	1	13	22,0580511886839	24	27	25	13
2	2	27	23,7118446309609	21	35	25	12
8	1	12	21,1388558594266	22	48	22	11
7	2	23	29,9835879308168	24	70	40	26
5	1	14	17,9163307354654	20	41	41	22
3	5	16	21,0667432730058	19	44	36	19
2	5	24	25,5593291551416	23	38	31	19
7	4	26	22,4913494809689	19	52	28	14
2	3	27	29,4029202445788	21	40	38	24
2	9	9	19,3698347107438	23	64	41	13
2	6	20	21,0498179023689	20	23	23	10
1	7	11	21,1072664359862	23	37	33	26
4	5	17	19,4444444444444	19	41	32	22
3	4	16	19,0311418685121	21	38	34	20
2	5	9	20,3244382551093	23	24	27	16
7	6	22	20,745069393718	20	20	39	24
6	7	23	19,4931773879142	21	32	34	9
2	7	15	19,0311418685121	22	24	37	23
6	4	26	22,6473769605192	22	30	40	8
8	3	32	22,3863142771225	25	68	42	27
5	6	19	19,4869614512472	22	66	40	22
3	7	18	23,566632231405	24	26	36	20
5	3	15	23,4567901234568	27	25	28	21
1	4	12	20,4294183624419	22	34	38	26
4	5	17	21,4532871972318	21	35	41	23
3	6	20	19,0450733402386	22	46	35	20
4	7	37	19,8176773682124	23	29	32	16
7	8	30	22,7833088854905	24	24	28	9
2	3	9	19,9480597689036	21	28	35	23
3	3	27	17,1655066945476	19	62	42	18
8	4	24	25,5937370619895	21	63	39	15
4	6	13	19,6051919956733	21	39	32	18
6	3	29	19,7210369679802	20	52	40	23
5	3	34	19,4931773879142	21	46	41	26
4	6	38	20,0773349196907	22	44	43	24
8	3	25	35,5113636363636	24	66	43	22
4	4	15	20,9876543209877	22	23	40	11
6	4	36	19,7210369679802	20	54	38	21
3	5	23	29,3575219240468	23	41	28	10
3	9	27	27,7388544139095	21	43	43	11
5	6	24	22,2309871275413	18	24	34	21
2	7	19	19,2893792677752	24	45	32	20
6	7	30	20,2812330989724	23	27	32	17
1	1	24	23,8086901719128	19	69	43	21
5	2	27	23,4509182190514	24	47	29	16
7	5	13	21,5645449137418	26	46	33	17
6	4	13	20,9839876033058	20	55	32	20
6	4	16	19,4330132601738	22	43	26	16
5	3	22	19,7210369679802	24	48	26	18
6	4	13	24,9337204898371	23	52	28	17
5	6	13	19,7776986669831	21	47	29	13
4	3	14	20,1955782312925	22	42	20	11
4	3	14	21,8870763653774	21	55	30	22
6	6	10	21,7051294327939	22	55	36	20
7	4	19	21,2962962962963	21	52	32	19
5	4	10	21,1388558594266	20	55	35	17
5	5	11	20,0154958677686	23	58	29	18
3	8	18	19,7231833910035	20	63	37	23
6	4	13	19,8140527358634	22	62	29	10
